frequency,fan_speed,context-switch,cpu-migration,page_fault,cycles,pc1,pc2,instructions,branches,branch-misses,cacher,io,lid,cache-misses,Second,core_2,core_3,core_4,core_1
2926000,3054,4,0,10,2925600540,1668622316,648660572,2944960978,529918407,14078622,11642552,0,1326845635,2253081,9,58,58,57,63
2926000,3054,4,0,26,2926810393,1641986224,660223378,2979874670,507646031,15822846,12774199,1,1214016727,2439369,10,58,57,57,63
2660000,3054,2,0,0,2661646382,1431994218,525529737,2788948930,497943177,15211824,10904272,18,1180849837,1173207,1,58,57,57,63
2660000,3054,2,0,0,2660844769,1481598377,590880717,2703609389,460680497,14238246,9844252,1,1194602784,2182820,2,58,57,56,62
2660000,3054,2,0,1479,2659745553,1518363191,611666033,2459963683,427738290,15830328,19347255,0,1096656080,1906046,3,58,57,56,62
2660000,3054,4,0,925,2660424666,1531929984,600503313,2541552574,432401873,13650257,9274656,2,1052017487,2672472,4,57,57,56,62
2660000,3054,2,0,201,2659856195,1535694665,501821960,2799177838,499266167,11987312,8236911,0,1105289928,1531880,5,57,57,56,62
2660000,3054,2,0,231,2660678367,1512000751,542270625,2776922771,482828219,11513168,13451077,2,1266955671,1841391,6,57,57,56,62
2660000,3054,2,0,0,2659728099,1504992262,521334689,2699903179,475020593,13552016,15920441,0,1150960594,1697754,7,57,57,56,62
2660000,3054,4,0,6267,2660653552,1557499363,628419226,2903678410,482056476,8990356,7262639,1,1290670930,3484079,8,59,57,56,63
2660000,3054,2,0,1593,2659399747,1560286833,572822398,2653501764,457088860,9322171,11592829,0,1213091880,2975527,9,59,57,56,63
2660000,3054,2,0,3386,2660822927,1660211615,634538082,2321068423,450702011,12679710,22472513,2,984012193,4061658,10,57,58,56,61
3060000,3054,2,0,0,3272238317,1855641606,680464493,3132957858,495690154,13946074,24001170,5411,1290369312,2514199,1,58,59,56,67
3060000,3054,4,0,2425,3245476755,2026612350,806657322,3015343308,546301497,13365167,20244241,3657,1288050524,5156122,2,58,59,56,67
3060000,3054,2,0,33,3237081680,1939428011,755077215,3156690320,584860135,11256217,11558968,3327,1368677497,3912713,3,62,63,61,69
3060000,3054,2,0,0,3258472142,1793422849,715630671,3344999944,569475990,17511886,15357793,4531,1434107105,1952687,4,62,63,61,69
3060000,3054,2,0,28,3227807675,1860787878,682382707,3354476264,585104954,13217232,10204839,3460,1546502372,2886834,5,62,61,59,70
3060000,3054,4,0,0,3230579660,1859006138,735739221,3057496700,531637412,16444864,24518490,2809,1364549507,2160535,6,62,61,59,70
3060000,3054,2,0,0,3239143927,1978559771,782185354,3022773285,538452463,14588494,16783231,3415,1306443334,3505517,7,64,63,61,70
3060000,3054,2,0,1,3264546063,1858245304,784001544,3338779580,578486921,16864189,10782822,5077,1396017909,3002021,8,64,63,61,70
3060000,3054,2,0,0,3275178457,1848810103,626091486,3376552547,601522343,15049425,29277038,5643,1495003396,1291076,9,63,62,59,71
3060000,3054,4,0,0,3263151938,1776275297,689776438,3450632543,601245275,17655154,13264644,4738,1499578035,1974744,10,63,62,59,71
2128000,3054,2,0,1077,2130550059,1178395466,379931022,2558279424,424684355,6504878,4963348,1,1136419278,2784672,1,61,60,58,63
2128000,2755,2,0,1060,2127591608,1170377459,326404638,2535891586,459821259,5983708,7806556,1,1232738546,1234198,2,61,60,58,63
2128000,2755,2,0,3759,2126924014,1204101432,437098070,2071017039,394293508,10672978,24031787,0,900536068,2786849,3,59,59,57,61
2128000,2732,4,0,0,2127399007,1250889939,556651495,2057190175,329204171,10565375,17718171,1,896164477,2651342,4,59,59,57,61
2128000,2732,2,0,1683,2127144868,1280321960,459778617,1833647121,318300463,13178892,34996678,1,853990315,2087776,5,57,57,56,60
2128000,2732,2,0,22,2127925276,1325406266,369515806,2087451832,414002480,5224369,7026183,0,902282993,1722554,6,57,57,55,59
2128000,2732,2,0,112,2126985951,1185280124,498684212,2180717038,371595660,11218062,6069911,1,936359540,3127916,7,57,57,55,59
2128000,2732,4,0,0,2127738045,1185553504,372500954,2343564897,420031383,8935010,16787332,0,1029906999,1363624,8,57,56,55,59
2128000,2732,0,0,0,2127037749,1193656941,446100257,2107177403,377181602,11868639,16970086,1,881566379,1666534,9,57,56,55,59
2128000,2732,2,0,0,2127626258,1210201901,494228184,2081754597,351912522,11111195,9493967,0,877043729,2912668,10,57,56,56,59
1862000,2732,2,0,0,1861885308,1049568575,299008333,2246480243,398900154,5113349,5456562,2,1031997068,2054007,1,58,56,56,59
1862000,2732,4,0,0,1860588509,1058070593,372888142,1872183180,327200842,8490256,22551734,0,833914903,1324368,2,58,56,56,59
1862000,2732,0,0,0,1860728968,1040779308,385579123,1874211897,325006846,9894229,6750539,1,788222011,2225772,3,56,56,55,58
1862000,2732,2,0,0,1861268589,1039397661,317320933,2333786600,409969630,4337986,4356891,0,1063646666,2314175,4,56,56,55,58
1862000,2732,2,0,0,1860765473,1116844832,455428833,1754538519,310362226,8826763,13690260,1,731029222,2570140,5,56,55,55,58
1862000,2743,2,0,0,1860729528,1027639159,358990369,1985266627,330223239,9553341,18604515,0,862016849,1282907,6,56,55,55,58
1862000,2743,2,0,541,1860760352,1049862409,404444913,1898028569,313615617,8956015,6725713,1,801537586,2101462,7,56,55,54,58
1862000,2732,2,0,138,1861941528,1029977086,267180039,2327954558,425778465,5092048,3912599,0,1096351851,1015347,8,55,55,54,58
1862000,2732,2,0,28,1860985587,1043159150,347821149,1989110944,349397777,8424233,20123408,1,846536125,921205,9,55,55,54,58
1862000,2732,4,0,0,1861926487,1034918289,381868068,1904356326,333866275,9653877,8044508,0,795252124,1725770,10,56,55,54,57
3060000,2732,2,0,256,3269989067,1961521830,838344288,3354830031,569800839,11614327,9979376,5465,1523656940,3768957,1,56,55,54,57
3060000,2732,2,0,2318,3280999081,1845349977,694817807,3399727294,596230392,15139941,26510277,6041,1482006641,1102187,2,60,59,58,68
3060000,2732,2,0,1236,3277239853,1868971524,684591465,3668571338,648799676,11450721,12954825,5990,1622130565,2484023,3,60,59,58,68
3060000,2743,6,0,8,3282906520,1847241494,749408669,3320347730,558291791,16045648,22455207,5835,1431308665,2468297,4,65,63,60,68
3060000,2743,2,0,485,3242146875,1881436520,673156667,3573023358,629794652,10564051,14654301,3611,1625733381,3257167,5,65,63,60,68
